id,type,namespace,title,comment,timestamp,user,bot,minor,revision,wiki,parsedcomment,length_old,length_new,len_diff,time_delta,time_delta_sec
2010137277.0,new,0,333176 Sierragonzales,#REDIRECT [[List of minor planets: 333001–334000#176]],2026-03-27 11:01:20,Tom.Reding,False,0.0,{'new': 1345663169},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#176"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#176</a>",0,278,278,,0.0
2010138053.0,new,0,333178 Sivaperuman,#REDIRECT [[List of minor planets: 333001–334000#178]],2026-03-27 11:07:29,Tom.Reding,False,0.0,{'new': 1345663607},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#178"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#178</a>",0,239,239,,0.0
2010138089.0,new,0,333183 Harishswabhash,#REDIRECT [[List of minor planets: 333001–334000#183]],2026-03-27 11:07:38,Tom.Reding,False,0.0,{'new': 1345663625},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#183"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#183</a>",0,242,242,,0.0
2010138129.0,new,0,333184 Craft,#REDIRECT [[List of minor planets: 333001–334000#184]],2026-03-27 11:07:51,Tom.Reding,False,0.0,{'new': 1345663647},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#184"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#184</a>",0,233,233,,0.0
2010138161.0,new,0,333190 Matthewjones,#REDIRECT [[List of minor planets: 333001–334000#190]],2026-03-27 11:07:58,Tom.Reding,False,0.0,{'new': 1345663659},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#190"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#190</a>",0,260,260,,0.0
2010138195.0,new,0,333195 Norberto,#REDIRECT [[List of minor planets: 333001–334000#195]],2026-03-27 11:08:05,Tom.Reding,False,0.0,{'new': 1345663671},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#195"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#195</a>",0,271,271,,0.0
2010138229.0,new,0,333205 Nair,#REDIRECT [[List of minor planets: 333001–334000#205]],2026-03-27 11:08:14,Tom.Reding,False,0.0,{'new': 1345663682},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#205"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#205</a>",0,291,291,,0.0
2010138259.0,new,0,333207 Lilliannguyen,#REDIRECT [[List of minor planets: 333001–334000#207]],2026-03-27 11:08:21,Tom.Reding,False,0.0,{'new': 1345663698},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#207"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#207</a>",0,276,276,,0.0
2010138306.0,new,0,333210 Lunning,#REDIRECT [[List of minor planets: 333001–334000#210]],2026-03-27 11:08:28,Tom.Reding,False,0.0,{'new': 1345663720},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#210"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#210</a>",0,290,290,,0.0
2010138344.0,new,0,333219 Rogerharrington,#REDIRECT [[List of minor planets: 333001–334000#219]],2026-03-27 11:08:36,Tom.Reding,False,0.0,{'new': 1345663739},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#219"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#219</a>",0,282,282,,0.0
2010138372.0,new,0,333224 Alanarosejohnson,#REDIRECT [[List of minor planets: 333001–334000#224]],2026-03-27 11:08:43,Tom.Reding,False,0.0,{'new': 1345663753},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#224"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#224</a>",0,264,264,,0.0
2010138393.0,new,0,333228 Mollywasser,#REDIRECT [[List of minor planets: 333001–334000#228]],2026-03-27 11:08:50,Tom.Reding,False,0.0,{'new': 1345663766},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#228"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#228</a>",0,239,239,,0.0
2010138414.0,new,0,333230 Simkus,#REDIRECT [[List of minor planets: 333001–334000#230]],2026-03-27 11:08:56,Tom.Reding,False,0.0,{'new': 1345663775},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#230"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#230</a>",0,234,234,,0.0
2010138462.0,new,0,333233 Duda,#REDIRECT [[List of minor planets: 333001–334000#233]],2026-03-27 11:09:05,Tom.Reding,False,0.0,{'new': 1345663789},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#233"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#233</a>",0,252,252,,0.0
2010138484.0,new,0,333234 Michaelstarobin,#REDIRECT [[List of minor planets: 333001–334000#234]],2026-03-27 11:09:12,Tom.Reding,False,0.0,{'new': 1345663801},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#234"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#234</a>",0,243,243,,0.0
2010138511.0,new,0,333241 Chugg,#REDIRECT [[List of minor planets: 333001–334000#241]],2026-03-27 11:09:18,Tom.Reding,False,0.0,{'new': 1345663814},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#241"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#241</a>",0,233,233,,0.0
2010138539.0,new,0,333242 Ericthomasparker,#REDIRECT [[List of minor planets: 333001–334000#242]],2026-03-27 11:09:24,Tom.Reding,False,0.0,{'new': 1345663825},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#242"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#242</a>",0,244,244,,0.0
